ppid	session	object	feedback	eye	vertical	symmetry	efrc3d_X	efrc3d_Y	efrc3d_Z	first_gaze3d_X	first_gaze3d_Y	first_gaze3d_Z	final_gaze3d_X	final_gaze3d_Y	final_gaze3d_Z
24	3	oben_asym	cursor	L	high	asym	0.007333341423557129	0.3618764854556445	-0.0033382851980364907	-0.006236107381993563	0.6564094304640088	0.0038380839807156245	-0.03436084412945197	0.412829110710997	-0.03665776642116183
24	3	mitte_sym	cursor	L	middle	sym	0.006269234175899745	0.3478345913168002	-0.03005921070607658	-0.014654903103874135	0.6463480510667424	-0.009977555623743669	0.0017315553031388429	0.3913636830354877	0.008431158938217982
24	3	mitte_asym	cursor	L	middle	asym	-0.007151841933130524	0.3339619489109045	-0.001711676478689109	0.00728258303331608	0.6451959239373818	0.0012240079078147128	0.008591882505955033	0.3734592521432478	0.0005635806722889218
24	3	unten_sym	cursor	L	low	sym	-0.0010483513119761546	0.2966239861711246	-0.021675146186727397	0.019615256857980188	0.6417323093235126	0.032978001519754635	0.004949699979827357	0.35508009650606653	-0.02284549004704518
24	3	unten_asym	cursor	L	low	asym	0.023247191139558775	0.2682300431689154	-0.0013405952549161379	-0.0014138406470333277	0.6246916155513454	-0.028433779915743362	0.03129047576780834	0.3178687594449266	-0.029810952006136357
24	3	oben_sym	cursor	L	high	sym	-0.010328775426024065	0.32412228471691007	-0.0067987946159897995	-0.011647534245149003	0.6452178543235669	-0.009631233629544978	0.004463899995775619	0.39187310302863926	-0.04456526077150982
25	1	oben_asym	cursor	L	high	asym	0.036866303777527774	0.24724658689538173	-0.00782476410094099	-0.011332091789482994	0.709729767033678	-0.04847946989911094	-0.0046552290701109495	0.3164108629394684	0.028835071631707624
25	1	mitte_sym	cursor	L	middle	sym	0.01876834736836683	0.28677184819645	-0.029017347334459237	-0.029099188356670132	0.7206118488156945	-0.04031822900070732	0.03043832800692541	0.31560187559501773	0.0026744287659552367
25	1	mitte_asym	cursor	L	middle	asym	0.007771866403019737	0.29210158754528337	-0.026201662924236056	-0.005890932518696442	0.7030671764569826	-0.055333640959236846	0.001755190190248832	0.3789339691705006	0.009729249713455493
25	1	unten_sym	cursor	L	low	sym	-0.01795057029662994	0.19304956653674737	-0.01949125317128514	0.0003458968476034724	0.7120109527115163	-0.07536629115159636	0.0029198795869239476	0.28950112136314043	0.02174075226039468
25	1	unten_asym	cursor	L	low	asym	0.024385685025377395	0.16455203445748834	-0.02637380457022833	-0.03360063212572306	0.7154132022128751	0.017006084261378947	0.0375427073172691	0.20382115741228363	0.006270840501135687
25	1	oben_sym	cursor	L	high	sym	0.002224839297992392	0.3216344688835198	0.014926314096289686	-0.008458705849150233	0.6919666012177227	-0.0440524150416469	0.010942903295160743	0.40774677673775633	0.04227175061361139
2	2	oben_asym	cursor	L	high	asym	0.009659163365748895	0.41218732453357837	0.0017457458568998253	-0.020668170640024658	0.6624902918482098	0.08695802534341503	0.0026870164160248495	0.4778831742891173	0.024057649088962636
2	2	mitte_sym	cursor	L	middle	sym	-0.012437357602647837	0.2711081901431392	-0.008064684209872358	0.025441142975879853	0.6715639024616407	0.11841435591283943	-0.0005577284060484674	0.34399534011544686	-0.0058758311037505236
2	2	mitte_asym	cursor	L	middle	asym	-0.010733384231756068	0.28627206518268644	0.00010657940335515014	0.06160440624391659	0.6606040927707076	0.035733584742945926	-0.017276447171619674	0.3500498450965097	-0.0017914775096941173
2	2	unten_sym	cursor	L	low	sym	-0.008942220779149218	0.17111257275108605	-0.028081918130173276	0.039836832251497555	0.6571708648773915	0.07243532595766959	-0.024066237527670526	0.2827066948049087	-0.0018833760539532292
2	2	unten_asym	cursor	L	low	asym	0.025283873724370885	0.1722757144407143	0.02777158236147349	0.0016534300088240645	0.6689733116487628	0.08905199682704025	0.015025986152912642	0.2690216232006034	0.01767835561093128
2	2	oben_sym	cursor	L	high	sym	0.01027810559215639	0.4002587539128633	0.009659309396300641	-0.028836968227840036	0.6677277260740688	0.04631788068337343	0.007105187585977731	0.4709001986749265	0.02105941394028774
3	1	oben_asym	cursor	L	high	asym	-0.04180968293663323	0.29042284488784137	0.02528188148145958	-0.046930666639916664	0.7275333146977706	0.12725807069059164	0.0145780546765766	0.38819621885750727	0.010755518598070717
3	1	mitte_sym	cursor	L	middle	sym	0.003495182228868647	0.2701392949482057	-0.03287757669960672	0.05207819992213791	0.7425845828086415	0.04958966207203255	0.01013172109179599	0.38109334138258183	0.01952816143654029
3	1	mitte_asym	cursor	L	middle	asym	-0.03484901610008979	0.3125362739043073	-0.017615280987376938	0.03524093685641756	0.7424690039768658	0.05325148443969548	-0.012650803506601242	0.42592954586805243	-0.0045579162591183634
3	1	unten_sym	cursor	L	low	sym	0.012154232775064562	0.20934246230900808	-0.012687089523095467	0.010738946365715745	0.7608566376047575	0.12291693043206503	0.0032968943272177103	0.3566319529964345	-0.00419609289199328
