ppid	session	trial	feedback	variable	error_m	error_deg	error_m_schwind
16	2	10	none	point_errD	0.579040828464125	9.393938548792795	0.3308804734080714
16	2	12	none	point_errD	0.5861108934092555	9.506556884349134	0.33492051051957455
16	2	13	none	point_errD	0.7799277734947043	12.56234297359882	0.44567301342554533
16	2	14	none	point_errD	0.7993601804703206	12.865047219089078	0.45677724598304037
16	2	15	none	point_errD	0.6471238963951131	10.475264876607476	0.36978508365435037
16	2	17	none	point_errD	0.7083143262505673	11.44074496094242	0.40475104357175273
16	3	0	hand	point_errD	0.5097093978328204	8.285807603415229	0.291262513047326
16	3	1	hand	point_errD	0.4894413571872158	7.960640889005177	0.27968077553555193
16	3	2	hand	point_errD	0.5903598401526517	9.574202327698606	0.3373484800872296
16	3	3	hand	point_errD	0.4266302322280656	6.949746928669725	0.24378870413032325
16	3	4	hand	point_errD	0.4582592851537878	7.459374374460972	0.2618624486593073
16	3	5	hand	point_errD	0.5556176295423129	9.020313620313349	0.31749578830989306
16	3	6	hand	point_errD	0.49918676444118326	8.117055339693994	0.2852495796806762
16	3	7	hand	point_errD	0.4889866568749942	7.9533399826887505	0.279420946785711
16	3	8	hand	point_errD	0.4805455040335182	7.817757442187715	0.2745974308762961
16	3	9	hand	point_errD	0.5624679161211199	9.129664485683342	0.3214102377834971
16	3	10	hand	point_errD	0.5295409774205622	8.603452774703158	0.30259484424032124
16	3	11	hand	point_errD	0.3792194946210149	6.1837849382265	0.2166968540691514
16	3	12	hand	point_errD	0.497820077834167	8.095127213641069	0.28446861590523825
16	3	13	hand	point_errD	0.7522720395841461	12.130313239311361	0.42986973690522645
16	3	14	hand	point_errD	0.5608194720099188	9.103356531876985	0.32046826971995357
16	3	15	hand	point_errD	0.5004322790677526	8.137037208733554	0.28596130232443
16	3	16	hand	point_errD	0.8011850982514026	12.893437282008321	0.4578200561436586
16	3	17	hand	point_errD	0.6655167179325088	10.766130932209347	0.3802952673900051
18	1	0	none	point_errD	0.5814813928794893	9.432822371399839	0.3322750816454224
18	1	1	none	point_errD	0.5967360481345474	9.67566429123079	0.34099202750545565
18	1	2	none	point_errD	0.5060061819082586	8.22643520446885	0.28914638966186207
18	1	3	none	point_errD	0.8250402380615685	13.263952775744041	0.47145156460661053
18	1	4	none	point_errD	0.4822888486302997	7.845766467372431	0.2755936277887427
18	1	5	none	point_errD	0.579376632291471	9.3992891975088	0.331072361309412
18	1	6	none	point_errD	0.2730354169982503	4.460616745537408	0.15602023828471445
18	1	7	none	point_errD	0.41393500089038165	6.744877467882617	0.23653428622307524
18	1	8	none	point_errD	0.5980664264997994	9.6968263513192	0.34175224371417107
18	1	9	none	point_errD	0.35809443186379963	5.841758569524216	0.20462538963645693
18	1	10	none	point_errD	0.4832181468667028	7.860695272349652	0.2761246553524016
18	1	11	none	point_errD	0.4760578171290067	7.745639835483376	0.2720330383594324
18	1	12	none	point_errD	0.1992800240057242	3.2587399785127853	0.11387429943184241
18	1	13	none	point_errD	0.2263824983072302	3.700776811611879	0.12936142760413155
18	1	14	none	point_errD	0.6715187774552068	10.860927505968268	0.3837250156886896
18	1	15	none	point_errD	0.23497031569531227	3.8407531958611503	0.13426875182589273
18	1	16	none	point_errD	0.22654460009888996	3.703419390646409	0.1294540571993657
18	1	17	none	point_errD	0.31507406178238084	5.143967221887696	0.18004232101850334
18	2	0	cursor	point_errD	0.19400494283894928	3.1726574685097915	0.11085996733654245
18	2	1	cursor	point_errD	0.15291443935907237	2.5016525186451166	0.08737967963375563
18	2	2	cursor	point_errD	0.23394488957322482	3.8240417326137988	0.13368279404184275
18	2	3	cursor	point_errD	0.1722996804321653	2.8183089417571994	0.0984569602469516
18	2	4	cursor	point_errD	0.1636813692530166	2.6775496116850053	0.09353221100172376
18	2	5	cursor	point_errD	0.2447576966983693	4.000225704033797	0.13986154097049677
18	2	6	cursor	point_errD	0.15655748021208518	2.5611735666818767	0.08946141726404867
18	2	7	cursor	point_errD	0.2056624068423704	3.36287249933988	0.11752137533849737
18	2	8	cursor	point_errD	0.3421432985702607	5.58322251159427	0.19551045632586325
18	2	9	cursor	point_errD	0.2376038749674567	3.8836695466654296	0.13577364283854668
18	2	10	cursor	point_errD	0.19752775064788458	3.230146755324218	0.11287300037021976
18	2	11	cursor	point_errD	0.24601589825876197	4.020721994395544	0.14058051329072113
18	2	12	cursor	point_errD	0.257653195258645	4.210245765590591	0.1472303972906543
18	2	13	cursor	point_errD	0.13196019180658924	2.1591950118692593	0.07540582388947957
18	2	14	cursor	point_errD	0.25797085311463175	4.21541783241964	0.14741191606550386
18	2	15	cursor	point_errD	0.18476567264595486	3.0218501931160584	0.10558038436911708
18	2	16	cursor	point_errD	0.2010100126089956	3.286967969931326	0.11486286434799749
18	2	17	cursor	point_errD	0.23961942705109132	3.916511937499796	0.1369253868863379
18	3	0	hand	point_errD	0.5405744385039705	8.779948100175542	0.308899679145126
